Dataset           colbertv2-len300  colbertv2-pair3.0-cont2-2-len300  colbertv2-pair3.0-cont2-2  colbertv2
arguana           0.4576            0.4479                            0.4679                     0.4542
bioasq            0.5217            0.5478                                                       
climate-fever     0.1817            0.1944                            0.1854                     0.1661
fever             0.7900            0.8035                            0.7709                     0.7586
fiqa              0.3561            0.3712                            0.3572                     0.3378
hotpotqa          0.6740            0.6928                            0.6930                     0.6745
nfcorpus          0.3387            0.3449                            0.3377                     0.3266
nq                0.5634            0.5831                            0.5769                     0.5551
quora             0.8507            0.8528                            0.8528                     0.8507
robust04          0.4684            0.4869                            0.4618                     0.4413
scidocs           0.1547            0.1621                            0.1613                     0.1545
scifact           0.6913            0.7151                            0.6742                     0.6429
signal1m          0.3070            0.3120                            0.3120                     0.3070
trec-covid        0.7324            0.7421                            0.7357                     0.7260
trec-news         0.4201            0.4192                            0.4170                     0.3957
webis-touche2020  0.2649            0.2575                            0.2636                     0.2490
